GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Sociología","Ciencia de la Administración","Ciencia Política","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Teoría Sociológica Clásica y Moderna","Teoría Sociológica Clásica y Moderna","Ciencias Sociales y Jurídicas","Teoría y Fundamentos Sociológicos",es,
"Grado en Sociología","Introducción al Cambio Social","Introducción al Cambio Social","Ciencias Sociales y Jurídicas","Estructura y Cambio Social",es,
"Grado en Sociología","Teoría Sociológica Contemporánea","Teoría Sociológica Contemporánea","Ciencias Sociales y Jurídicas","Teoría y Fundamentos Sociológicos",en,
"Grado en Sociología","Teoría Sociológica Contemporánea","Teoría Sociológica Contemporánea","Ciencias Sociales y Jurídicas","Teoría y Fundamentos Sociológicos",es,
"Grado en Sociología","Sociología Política","Sociología Política","Ciencias Sociales y Jurídicas","Análisis Político e Intervención Social",es,
"Grado en Sociología","Análisis de Datos Cualitativos en Sociología","Análisis de Datos Cualitativos en Sociología","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación Social",es,
"Grado en Sociología","Análisis Inferencial de Datos en Sociología","Análisis Inferencial de Datos en Sociología","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación Social",es,"<p>Se utilizará el programa R (extensiones R-Commander y/o R-Studio), el software libre líder para el análisis de datos en el ámbito de la academia y la empresa</p>&#13;"
"Grado en Sociología","Procesos de Cambio Social","Procesos de Cambio Social","Ciencias Sociales y Jurídicas","Estructura y Cambio Social",es,
"Grado en Sociología","Estructura Social de España","Estructura Social de España","Ciencias Sociales y Jurídicas","Estructura y Cambio Social",es,
"Grado en Sociología","Análisis Demográfico","Análisis Demográfico","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación Social",es,
"Grado en Sociología","Sociología de la Población y de las Migraciones","Sociología de la Población y de las Migraciones","Ciencias Sociales y Jurídicas","Sociología de la Población, Territorio y Medio Ambiente",en,
"Grado en Sociología","Sociología de la Población y de las Migraciones","Sociología de la Población y de las Migraciones","Ciencias Sociales y Jurídicas","Sociología de la Población, Territorio y Medio Ambiente",es,
"Grado en Sociología","Análisis Electoral","Análisis Electoral","Ciencias Sociales y Jurídicas","Análisis Político e Intervención Social",es,
"Grado en Sociología","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Prácticas Externas",es,
"Grado en Sociología","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en Sociología","Análisis de Datos Asistido por Ordenador en Sociología","Análisis de Datos Asistidos por Ordenador en Sociología","Ciencias Sociales y Jurídicas","Técnicas Avanzadas de Investigación Social",es,"<p>Se utilizará el <strong>programa R (extensiones R-Commander y/o R-Studio)</strong>, el software libre líder para el análisis de datos en el ámbito de la academia y la empresa.</p>&#13;"
"Grado en Sociología","Análisis Multivariante Aplicado a la Sociología","Análisis Multivariante Aplicado a la Sociología","Ciencias Sociales y Jurídicas","Técnicas Avanzadas de Investigación Social",es,
"Grado en Sociología","Ciencia y Minería de Datos","Ciencia y Minería de Datos","Ciencias Sociales y Jurídicas","Técnicas Avanzadas de Investigación Social",es,"<ul>&#13;	<li>Gephi: Herramienta de Análisis y Visualización de Redes Sociales. <a href="https://gephi.org/">https://gephi.org/</a></li>&#13;</ul>&#13;"
"Grado en Sociología","Sociología de la Comunicación y Opinión Pública","Sociología de la Comunicación y Opinión Pública","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito de la Educación y la Cultura",es,
"Grado en Sociología","Sociología de la Familia","Sociología de la Familia","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito de la Educación y la Cultura",es,
"Grado en Sociología","Ética Social","Ética Social","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito de la Educación y la Cultura",es,
"Grado en Sociología","Sociología del Género","Sociología del Género","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito de la Educación y la Cultura",es,
"Grado en Sociología","Sociology of the Life Course","Sociology of the Life Course","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito de la Educación y la Cultura",en,
"Grado en Sociología","Indicadores Sociales","Indicadores Sociales","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación Social",es,
"Grado en Sociología","Historia de los Movimientos Sociales en la España Contemporánea","Historia de los Movimientos Sociales en la España Contemporánea","Ciencias Sociales y Jurídicas","Estructura y Cambio Social",es,
"Grado en Sociología","Sociología Rural","Sociología Rural","Ciencias Sociales y Jurídicas","Sociología de la Población, Territorio y Medio Ambiente",es,
"Grado en Sociología","Sociología Urbana","Sociología Urbana","Ciencias Sociales y Jurídicas","Sociología de la Población, Territorio y Medio Ambiente",es,
"Grado en Sociología","Sociología del Medio Ambiente","Sociología del Medio Ambiente","Ciencias Sociales y Jurídicas","Sociología de la Población, Territorio y Medio Ambiente",es,
"Grado en Sociología","Sociología de la Empresa y de los Recursos Humanos","Sociología de la Empresa y de los Recursos Humanos","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito del Trabajo y las Organizaciones",es,"<p>Software libre recomendado:</p>&#13;&#13;<ul>&#13;	<li>OpenOffice (Calc)</li>&#13;	<li>PSPP</li>&#13;</ul>&#13;"
"Grado en Sociología","Sociología del Consumo","Sociología del Consumo","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito del Trabajo y las Organizaciones",es,
"Grado en Sociología","Análisis de Política Social y Sistemas de Bienestar","Análisis de Política Social y Sistemas de Bienestar","Ciencias Sociales y Jurídicas","Análisis Político e Intervención Social",es,
"Grado en Sociología","Políticas de Desarrollo Local","Políticas de Desarrollo Local","Ciencias Sociales y Jurídicas","Análisis Político e Intervención Social",es,
"Grado en Sociología","Políticas Públicas","Políticas Públicas","Ciencias Sociales y Jurídicas","Análisis Político e Intervención Social",es,
"Grado en Sociología","Sistema Político Español","Sistema Político Español","Ciencias Sociales y Jurídicas","Análisis Político e Intervención Social",es,
"Grado en Sociología","Evaluación de Programas Sociales","Evaluación de Programas Sociales","Ciencias Sociales y Jurídicas","Análisis Político e Intervención Social",es,
"Grado en Terapia Ocupacional","Anatomía General","Anatomía Humana","Ciencias de la Salud","Formación Básica CC de la Salud",es,
"Grado en Terapia Ocupacional",Estadística,Estadística,"Ciencias de la Salud","Formación Básica CC de la Salud",es,"<p>Si. Se utiliza "R" (https://cran.rstudio.com/), así como "RStudio" (https://posit.co/download/rstudio-desktop/).</p>&#13;"
"Grado en Terapia Ocupacional",Sociología,Sociología,"Ciencias de la Salud","Formación Básica Transversal",es,
"Grado en Terapia Ocupacional","Psicología General",Psicología,"Ciencias de la Salud","Formación Básica CC de la Salud",es,
"Grado en Terapia Ocupacional","Fundamentos y Bases Conceptuales de Terapia Ocupacional","Fundamentos y Generalidades en Terapia Ocupacional","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional",Neuroanatomía,"Anatomía Humana","Ciencias de la Salud","Formación Básica CC de la Salud",es,
"Grado en Terapia Ocupacional","Psicopatología y Modificación de la Conducta","Psicopatología y Modificación de Conducta","Ciencias de la Salud","Materias Obligatorias en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Afecciones Médico-Quirúrgicas I: Sistemas Cardio-Respiratorio y Otros Grandes Sindromes","Afecciones Médico-Quirúrgicas I: Sistema Cardio-Respiratorio y Otros Grandes Sindromes","Ciencias de la Salud","Afecciones Médicas, Quirúrgicas y Psiquiátricas",es,
"Grado en Terapia Ocupacional","Ética y Legislación Profesional","Ética y Legislación y Salud Pública","Ciencias de la Salud","Formación Básica Transversal",es,
"Grado en Terapia Ocupacional",Fisiología,Fisiología,"Ciencias de la Salud","Formación Básica CC de la Salud",es,
"Grado en Terapia Ocupacional","Afecciones Médico-Quirúgicas II: Aparato Locomotor","Afecciones Médico-Quirúrgicas II: Aparato Locomotor","Ciencias de la Salud","Afecciones Médicas, Quirúrgicas y Psiquiátricas",es,
"Grado en Terapia Ocupacional",Biomecánica,Biomécanica,"Ciencias de la Salud","Materias Obligatorias en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Psicología Social",Psicología,"Ciencias de la Salud","Formación Básica CC de la Salud",es,
"Grado en Terapia Ocupacional","Metodología de Investigación","Metodología de la Investigación","Ciencias de la Salud","Formación Básica Transversal",es,
"Grado en Terapia Ocupacional","Fundamentos de Terapia Ocupacional: Análisis Ocupacional y las Actividades Ocupacionales Técnico-Terapeúticas","Fundamentos y Generalidades en Terapia Ocupacional","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","Afecciones Médico-Quirúrgica III: Sistema Nervioso Órgano de los Sentidos y Sistemas Endocrino y Renal","Afecciones Médico-Quirúrgicas III: Sist. Nervioso Órganos de los Sentidos y Sist. Endocrino y Renal","Ciencias de la Salud","Afecciones Médicas, Quirúrgicas y Psiquiátricas",es,
"Grado en Terapia Ocupacional","Pediatría en Terapia Ocupacional","Pediatría en Terapia Ocupacional","Ciencias de la Salud","Materias Obligatorias en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Salud Pública","Ética y Legislación y Salud Pública","Ciencias de la Salud","Formación Básica Transversal",es,
"Grado en Terapia Ocupacional","Terapia Ocupacional para la Autonomía Personal. Actividades de la Vida Diaria","Fundamentos y Generalidades en Terapia Ocupacional","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional",Geriatría,Geriatría,"Ciencias de la Salud","Materias Obligatorias en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Psiquiatría en Terapia Ocupacional","Psiquiatría en Terapia Ocupacional","Ciencias de la Salud","Afecciones Médicas, Quirúrgicas y Psiquiátricas",es,
"Grado en Terapia Ocupacional","Intervención de la Terapia Ocupacional en Discapacidad Física: Discapacidad  Musculoesquelética y Neurológica del Niño y del Anciano","Intervención de la Terapia Ocupacinal en la Discapacidad Física","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","Intervención de la Terapia Ocupacional en Discapacidad Física: Discapacidad Músculo-Esquelética del Adulto","Intervención de la Terapia Ocupacinal en la Discapacidad Física","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","Terapia Ocupacional en Órtesis, Ayudas Técnicas y Adaptación Entorno","Intervención de la Terapia Ocupacinal en la Discapacidad Física","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","Intervención de la Terapia Ocupacional en la  Discapacidad Física: Discapacidad Neurológica en Adulto","Intervención de la Terapia Ocupacinal en la Discapacidad Física","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","La Intervención de la Terapia Ocupacional mediante la Elaboración Programas","Intervención de la Terapia Ocupacional en la Salud Mental","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","Intervención de la Terapia Ocupacional en la Salud Mental de Adultos: Autonomía Personal e Independencia","Intervención de la Terapia Ocupacional en la Salud Mental","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","Intervención de la Terapia Ocupacional en la Salud Mental de la Infancia , Adolescencia y Personas Mayores","Intervención de la Terapia Ocupacional en la Salud Mental","Ciencias de la Salud","Terapia Ocupacional, Autonomía e Indepencia",es,
"Grado en Terapia Ocupacional","Prácticas Tuteladas I","Prácticas Tuteladas","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Prácticas Tuteladas II","Prácticas Tuteladas","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Prácticas Tuteladas III","Prácticas Tuteladas","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Prácticas Tuteladas IV","Prácticas Tuteladas","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Prácticas Tuteladas V","Prácticas Tuteladas","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Prácticas Tuteladas VI","Prácticas Tuteladas","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Prácticas Tuteladas VII","Prácticas Tuteladas","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias de la Salud","Prácticas Tuteladas y Trabajo Fin de Grado",es,
"Grado en Terapia Ocupacional","Terapia Ocupacional en Atención Temprana y Unidades de Neonatos","Terapia Ocupacional en Atención Temprana y Unidades de Neonatos","Ciencias de la Salud","Materias Optativas en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Técnicas de Intervención de Terapia  Ocupacional en Trastornos Orofaciales: Deglución","Técnicas de Intervención de Terapia Ocupacional en Trastornos Orofaciales: Deglución","Ciencias de la Salud","Materias Optativas en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Intervención de la Terapia Ocupacional mediante Técnicas Psicomotrices","Intervención de la Terapia Ocupacional mediante Técnicas Psicomotrices","Ciencias de la Salud","Materias Optativas en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Ergonomía y Accesibilidad: Terapia Ocupacional en Diseño y Adaptación de Puestos de Trabajo","Ergonomía y Accesibilidad: Terapia Ocupacional en Diseño y Adaptación de Puestos de Trabajo","Ciencias de la Salud","Materias Optativas en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Neuropsicología Cognitiva Aplicada a Terapia Ocupacional","Neuropsicología Cognitiva Aplicada a la Terapia Ocupacional","Ciencias de la Salud","Materias Optativas en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Intervención y Terapias Psicológicas","Intervención y Terapias Psicológicas","Ciencias de la Salud","Materias Optativas en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional",Drogodependencias,Drogodependencias,"Ciencias de la Salud","Materias Optativas en el Grado de Terapia Ocupacional",es,
"Grado en Terapia Ocupacional","Historia de las Ciencias de la Salud","Historia de las Ciencias de la Salud","Ciencias de la Salud","Módulo Transversal Optativo",es,
"Grado en Trabajo Social","Derecho I",Derecho,"Ciencias Sociales y Jurídicas","Materias Básicas",es,
"Grado en Trabajo Social","Psicología I",Psicología,"Ciencias Sociales y Jurídicas","Materias Básicas",es,
"Grado en Trabajo Social","Sociología I",Sociología,"Ciencias Sociales y Jurídicas","Materias Básicas",es,
"Grado en Trabajo Social","Fundamentos del Trabajo Social","Fundamentos del Trabajo Social","Ciencias Sociales y Jurídicas","El Trabajo Social: Conceptos, Métodos, Teorías y Aplicación",es,
"Grado en Trabajo Social","Gestión de Información","Gestión de la Información","Ciencias Sociales y Jurídicas","Materias Básicas",es,
